frame,person_id,x,y,zone
4,37,1272,102,Zone 5
4,38,248,377,Zone 11
4,39,323,382,Zone 12
4,40,1148,156,Zone 10
5,1,1006,377,Zone 14
5,2,994,271,Zone 9
5,3,473,472,Zone 17
5,4,192,351,Zone 11
5,5,794,666,Zone 24
5,7,526,337,Zone 13
5,8,1216,146,Zone 10
5,9,819,121,Zone 4
5,10,492,197,Zone 7
5,11,160,60,Zone 1
5,12,742,69,Zone 3
5,13,612,97,Zone 3
5,14,969,530,Zone 19
5,15,581,86,Zone 3
5,16,547,89,Zone 3
5,17,1092,47,Zone 5
5,19,401,230,Zone 7
5,20,636,167,Zone 8
5,21,79,126,Zone 1
5,22,1135,50,Zone 5
5,23,794,138,Zone 4
5,24,257,44,Zone 2
5,25,496,31,Zone 2
5,28,675,117,Zone 3
5,29,1070,47,Zone 5
5,30,880,38,Zone 4
5,33,1172,96,Zone 5
5,36,943,61,Zone 4
5,37,1272,102,Zone 5
5,38,249,376,Zone 11
5,39,323,382,Zone 12
5,40,1149,158,Zone 10
5,44,282,390,Zone 12
5,32,1250,519,Zone 20
6,1,1006,378,Zone 14
6,2,995,273,Zone 9
6,3,473,469,Zone 17
6,4,191,355,Zone 11
6,5,794,664,Zone 24
6,7,525,335,Zone 13
6,8,1217,148,Zone 10
6,9,819,120,Zone 4
6,10,492,197,Zone 7
6,11,163,59,Zone 1
6,12,742,70,Zone 3
6,13,613,96,Zone 3
6,14,967,530,Zone 19
6,15,581,86,Zone 3
6,16,547,89,Zone 3
6,17,1092,48,Zone 5
6,19,401,229,Zone 7
6,20,636,169,Zone 8
6,21,78,126,Zone 1
6,22,1136,51,Zone 5
6,23,794,137,Zone 4
6,24,259,43,Zone 2
6,25,496,31,Zone 2
6,28,675,119,Zone 3
6,29,1070,47,Zone 5
6,30,880,37,Zone 4
6,33,1171,95,Zone 5
6,36,943,61,Zone 4
6,37,1272,102,Zone 5
6,38,248,377,Zone 11
6,39,322,383,Zone 12
6,40,1153,158,Zone 10
6,44,282,389,Zone 12
6,45,61,598,Zone 21
6,46,120,14,Zone 1
6,32,1252,510,Zone 20
7,1,1008,379,Zone 14
7,2,996,275,Zone 9
7,3,473,466,Zone 17
7,4,190,360,Zone 11
7,5,793,660,Zone 24
7,7,524,333,Zone 13
7,8,1217,148,Zone 10
7,9,818,121,Zone 4
7,10,492,195,Zone 7
7,11,166,58,Zone 1
7,12,742,70,Zone 3
7,13,614,95,Zone 3
7,14,965,531,Zone 19
7,15,581,85,Zone 3
7,16,546,88,Zone 3
7,17,1093,47,Zone 5
7,19,401,230,Zone 7
7,20,635,170,Zone 8
7,21,78,126,Zone 1
7,22,1137,51,Zone 5
7,23,795,134,Zone 4
7,24,262,43,Zone 2
7,25,496,30,Zone 2
7,28,675,120,Zone 3
7,29,1071,47,Zone 5
7,30,880,37,Zone 4
7,36,944,60,Zone 4
7,37,1272,102,Zone 5
7,38,248,376,Zone 11
7,39,322,382,Zone 12
7,40,1154,156,Zone 10
7,44,282,389,Zone 12
7,45,61,598,Zone 21
7,46,120,12,Zone 1
7,32,1253,503,Zone 20
7,26,1158,134,Zone 5
8,1,1009,383,Zone 14
8,2,997,279,Zone 9
8,3,474,465,Zone 17
8,4,190,364,Zone 11
8,5,792,658,Zone 24
8,7,524,332,Zone 13
8,8,1218,148,Zone 10
8,9,818,121,Zone 4
8,10,492,194,Zone 7
8,11,169,57,Zone 1
8,12,743,70,Zone 3
8,13,615,93,Zone 3
8,14,963,531,Zone 19
8,15,581,85,Zone 3
8,16,546,88,Zone 3
8,17,1093,47,Zone 5
8,19,401,230,Zone 7
8,20,635,170,Zone 8
8,21,78,126,Zone 1
8,22,1137,52,Zone 5
8,23,796,132,Zone 4
8,24,263,43,Zone 2
8,25,497,30,Zone 2
8,28,676,122,Zone 3
8,29,1072,47,Zone 5
8,30,881,36,Zone 4
8,36,943,60,Zone 4
8,37,1272,101,Zone 5
8,38,248,375,Zone 11
8,39,322,382,Zone 12
8,40,1155,155,Zone 10
8,44,282,389,Zone 12
8,46,121,12,Zone 1
8,32,1253,498,Zone 20
8,26,1159,133,Zone 5
9,1,1010,387,Zone 14
9,2,998,282,Zone 9
9,3,474,464,Zone 17
9,4,190,368,Zone 11
9,5,792,655,Zone 24
9,7,524,331,Zone 13
9,8,1218,147,Zone 10
9,9,819,120,Zone 4
9,10,493,194,Zone 7
9,11,172,57,Zone 1
9,12,743,70,Zone 3
9,13,615,93,Zone 3
9,14,963,531,Zone 19
9,15,581,84,Zone 3
9,16,546,88,Zone 3
9,17,1093,48,Zone 5
9,19,401,231,Zone 7
9,20,635,171,Zone 8
9,21,78,125,Zone 1
9,22,1137,53,Zone 5
9,23,796,131,Zone 4
9,24,264,43,Zone 2
9,25,496,30,Zone 2
9,28,676,122,Zone 3
9,29,1072,47,Zone 5
9,30,881,36,Zone 4
9,36,943,60,Zone 4
9,38,248,376,Zone 11
9,39,322,382,Zone 12
9,40,1155,155,Zone 10
9,44,282,389,Zone 12
9,46,121,11,Zone 1
9,32,1253,496,Zone 20
9,26,1159,133,Zone 5
9,48,171,43,Zone 1
10,1,1011,390,Zone 14
10,2,999,285,Zone 9
10,3,475,463,Zone 17
10,4,190,370,Zone 11
10,5,790,652,Zone 24
10,7,523,330,Zone 13
10,8,1218,148,Zone 10
10,9,819,119,Zone 4
10,10,493,193,Zone 7
10,11,174,56,Zone 1
10,12,743,70,Zone 3
10,13,616,91,Zone 3
10,14,962,531,Zone 19
10,15,580,84,Zone 3
10,16,545,87,Zone 3
10,17,1094,47,Zone 5
10,19,401,234,Zone 7
10,20,635,171,Zone 8
10,21,78,125,Zone 1
10,22,1138,54,Zone 5
10,23,797,129,Zone 4
10,24,265,43,Zone 2
10,25,497,30,Zone 2
10,28,676,123,Zone 3
10,29,1073,47,Zone 5
10,30,881,35,Zone 4
10,36,943,60,Zone 4
10,38,248,375,Zone 11
10,39,322,382,Zone 12
10,44,282,388,Zone 12
10,46,122,11,Zone 1
10,32,1253,495,Zone 20
10,26,1160,133,Zone 5
11,1,1011,393,Zone 14
11,2,999,288,Zone 9
11,3,475,462,Zone 17
11,4,190,372,Zone 11
11,5,789,651,Zone 24
11,7,523,329,Zone 13
11,8,1219,148,Zone 10
11,9,819,118,Zone 4
11,10,493,192,Zone 7
11,11,177,55,Zone 1
11,12,743,70,Zone 3
11,13,617,90,Zone 3
11,14,960,531,Zone 19
11,15,580,84,Zone 3
11,16,545,86,Zone 3
11,17,1094,47,Zone 5
11,19,400,238,Zone 7
11,20,635,171,Zone 8
11,21,78,125,Zone 1
11,22,1138,56,Zone 5
11,23,797,128,Zone 4
11,24,266,42,Zone 2
11,25,497,30,Zone 2
11,28,676,124,Zone 3
11,29,1073,47,Zone 5
11,30,882,35,Zone 4
11,36,943,60,Zone 4
11,38,248,375,Zone 11
11,39,322,382,Zone 12
11,44,282,388,Zone 12
11,46,123,11,Zone 1
11,32,1253,494,Zone 20
11,26,1162,133,Zone 5
11,48,176,43,Zone 1
12,1,1012,394,Zone 14
12,2,1000,289,Zone 14
12,3,475,461,Zone 17
12,4,190,373,Zone 11
12,5,788,650,Zone 24
12,7,523,329,Zone 13
12,8,1219,148,Zone 10
12,9,819,117,Zone 4
12,10,493,191,Zone 7
12,11,178,54,Zone 1
12,12,742,70,Zone 3
12,13,617,89,Zone 3
12,14,960,532,Zone 19
12,15,580,84,Zone 3
12,16,545,86,Zone 3
12,17,1093,47,Zone 5
12,19,400,240,Zone 7
12,20,635,171,Zone 8
12,21,78,125,Zone 1
12,22,1138,56,Zone 5
12,23,796,127,Zone 4
12,24,266,42,Zone 2
12,25,497,30,Zone 2
12,28,676,124,Zone 3
12,29,1074,47,Zone 5
12,30,882,35,Zone 4
12,36,943,60,Zone 4
12,38,247,375,Zone 11
12,39,322,382,Zone 12
12,44,282,387,Zone 12
12,46,124,11,Zone 1
12,32,1254,493,Zone 20
12,26,1163,133,Zone 5
12,48,176,43,Zone 1
13,1,1014,399,Zone 14
13,2,1002,291,Zone 14
13,3,474,456,Zone 17
13,4,189,377,Zone 11
13,5,786,646,Zone 24
13,6,785,358,Zone 14
13,7,523,326,Zone 13
13,8,1220,151,Zone 10
13,9,819,113,Zone 4
13,10,492,185,Zone 7
13,11,180,52,Zone 1
13,12,742,74,Zone 3
13,13,618,89,Zone 3
13,14,954,531,Zone 19
13,15,580,83,Zone 3
13,16,545,85,Zone 3
13,17,1094,47,Zone 5
13,19,399,243,Zone 7
13,20,635,174,Zone 8
13,21,78,125,Zone 1
13,22,1138,58,Zone 5
13,23,797,126,Zone 4
13,24,267,40,Zone 2
13,25,498,28,Zone 2
13,28,675,124,Zone 3
13,29,1074,47,Zone 5
13,30,881,34,Zone 4
13,36,942,60,Zone 4
13,38,247,376,Zone 11
13,44,282,386,Zone 12
13,46,125,10,Zone 1
13,32,1253,490,Zone 20
13,26,1163,134,Zone 5
13,34,400,177,Zone 7
14,1,1015,402,Zone 14
14,2,1004,293,Zone 14
14,3,474,451,Zone 17
14,5,784,644,Zone 24
14,7,522,323,Zone 13
14,8,1221,154,Zone 10
14,9,818,110,Zone 4
14,10,491,181,Zone 7
14,11,181,51,Zone 1
14,12,741,75,Zone 3
14,13,618,89,Zone 3
14,14,951,531,Zone 19
14,15,580,82,Zone 3
14,16,545,84,Zone 3
14,17,1094,46,Zone 5
14,19,399,245,Zone 7
14,20,634,175,Zone 8
14,21,78,124,Zone 1
14,22,1138,58,Zone 5
14,23,797,125,Zone 4
14,24,267,38,Zone 2
14,28,675,124,Zone 3
14,29,1074,47,Zone 5
14,30,881,34,Zone 4
14,36,942,59,Zone 4
14,44,282,387,Zone 12
14,46,126,10,Zone 1
14,32,1252,488,Zone 20
14,26,1164,136,Zone 5
14,34,400,178,Zone 7
15,1,1016,403,Zone 14
15,2,1005,293,Zone 14
15,3,473,447,Zone 17
15,5,783,642,Zone 24
15,7,523,320,Zone 13
15,8,1221,156,Zone 10
15,9,818,108,Zone 4
15,10,491,178,Zone 7
15,11,181,49,Zone 1
15,12,741,76,Zone 3
15,13,618,87,Zone 3
15,14,949,531,Zone 19
15,15,579,82,Zone 3
15,16,545,83,Zone 3
15,17,1094,46,Zone 5
15,19,399,247,Zone 7
15,20,634,177,Zone 8
15,21,77,124,Zone 1
15,22,1138,56,Zone 5
15,23,797,125,Zone 4
15,24,267,37,Zone 2
15,28,676,124,Zone 3
15,29,1074,47,Zone 5
15,30,881,33,Zone 4
15,36,941,59,Zone 4
15,38,246,376,Zone 11
15,32,1251,487,Zone 20
15,26,1164,137,Zone 5
15,34,400,179,Zone 7
15,52,187,379,Zone 11
16,1,1017,403,Zone 14
16,2,1007,294,Zone 14
16,3,473,441,Zone 17
16,5,781,641,Zone 24
16,7,523,316,Zone 13
16,8,1222,156,Zone 10
16,9,818,107,Zone 4
16,10,490,176,Zone 7
16,11,181,47,Zone 1
16,12,741,77,Zone 3
16,13,618,87,Zone 3
16,14,946,531,Zone 19
16,15,579,82,Zone 3
16,16,545,83,Zone 3
16,17,1094,47,Zone 5
16,19,399,247,Zone 7
16,20,635,178,Zone 8
16,21,77,123,Zone 1
16,22,1138,58,Zone 5
16,23,797,125,Zone 4
16,24,267,36,Zone 2
16,28,676,125,Zone 3
16,29,1074,48,Zone 5
16,30,881,33,Zone 4
16,36,940,59,Zone 4
16,38,245,376,Zone 11
16,32,1249,483,Zone 20
16,26,1163,141,Zone 5
16,34,400,179,Zone 7
16,52,187,379,Zone 11
16,31,1089,48,Zone 5
16,40,1156,168,Zone 10
17,1,1019,404,Zone 14
17,2,1008,297,Zone 14
17,3,472,433,Zone 17
17,5,779,635,Zone 24
17,7,522,310,Zone 13
17,8,1221,158,Zone 10
17,9,818,106,Zone 4
17,10,488,174,Zone 7
17,11,184,45,Zone 1
17,12,741,79,Zone 3
17,13,619,86,Zone 3
17,14,940,530,Zone 19
17,15,579,81,Zone 3
17,16,544,82,Zone 3
17,17,1095,47,Zone 5
17,19,398,249,Zone 7
17,20,635,180,Zone 8
17,21,76,123,Zone 1
17,22,1137,55,Zone 5
17,23,797,123,Zone 4
17,24,268,36,Zone 2
17,28,676,128,Zone 3
17,29,1074,48,Zone 5
17,30,880,33,Zone 4
17,36,940,59,Zone 4
17,38,245,375,Zone 11
17,32,1247,478,Zone 20
17,34,400,181,Zone 7
17,58,80,603,Zone 21
17,40,1157,172,Zone 10
17,33,1177,100,Zone 5
18,1,1020,405,Zone 14
18,2,1008,301,Zone 14
18,3,472,429,Zone 12
18,5,777,630,Zone 24
18,7,522,307,Zone 13
18,8,1221,160,Zone 10
18,9,818,105,Zone 4
18,10,487,174,Zone 7
18,11,186,43,Zone 1
18,12,741,79,Zone 3
18,13,619,86,Zone 3
18,14,936,530,Zone 19
18,15,578,81,Zone 3
18,16,544,82,Zone 3
18,17,1095,47,Zone 5
18,19,398,248,Zone 7
18,20,635,182,Zone 8
18,21,76,122,Zone 1
18,22,1137,54,Zone 5
18,23,796,121,Zone 4
18,24,269,35,Zone 2
18,27,81,603,Zone 21
18,28,676,129,Zone 3
18,29,1074,48,Zone 5
18,30,880,33,Zone 4
18,36,939,59,Zone 4
18,38,245,375,Zone 11
18,32,1246,474,Zone 20
18,34,400,182,Zone 7
18,40,1158,173,Zone 10
18,33,1178,101,Zone 5
18,4,184,382,Zone 11
19,1,1021,406,Zone 14
19,2,1009,304,Zone 14
19,3,472,426,Zone 12
19,5,775,625,Zone 24
19,7,522,305,Zone 13
19,8,1221,161,Zone 10
19,9,817,105,Zone 4
19,10,486,173,Zone 7
19,11,189,42,Zone 1
19,12,741,80,Zone 3
19,13,619,86,Zone 3
19,14,931,530,Zone 19
19,15,578,81,Zone 3
19,16,544,82,Zone 3
19,17,1095,49,Zone 5
19,19,398,249,Zone 7
19,20,635,183,Zone 8
19,21,75,122,Zone 1
19,22,1137,53,Zone 5
19,23,795,119,Zone 4
19,24,269,35,Zone 2
19,27,81,604,Zone 21
19,28,676,130,Zone 3
19,29,1073,48,Zone 5
19,30,880,33,Zone 4
19,36,938,59,Zone 4
19,38,245,374,Zone 11
19,32,1246,469,Zone 20
19,34,399,183,Zone 7
19,40,1158,174,Zone 10
19,33,1178,102,Zone 5
19,4,183,384,Zone 11
20,1,1021,408,Zone 14
20,2,1010,307,Zone 14
20,3,472,424,Zone 12
20,5,774,619,Zone 24
20,7,521,303,Zone 13
20,8,1221,162,Zone 10
20,9,817,105,Zone 4
20,10,486,172,Zone 7
20,11,192,41,Zone 1
20,12,742,80,Zone 3
20,13,619,85,Zone 3
20,14,923,530,Zone 19
20,15,578,80,Zone 3
20,16,544,82,Zone 3
20,17,1094,49,Zone 5
20,19,398,248,Zone 7
20,20,635,184,Zone 8
20,21,75,122,Zone 1
20,22,1137,56,Zone 5
20,23,794,117,Zone 4
20,24,270,36,Zone 2
20,27,81,605,Zone 21
20,28,676,132,Zone 3
20,29,1073,48,Zone 5
20,30,880,33,Zone 4
20,36,937,59,Zone 4
20,38,244,374,Zone 11
20,32,1243,466,Zone 20
20,34,399,185,Zone 7
20,40,1158,173,Zone 10
20,33,1179,103,Zone 5
20,4,182,389,Zone 11
21,1,1023,413,Zone 14
21,2,1011,310,Zone 14
21,3,472,423,Zone 12
21,5,773,612,Zone 24
21,7,521,301,Zone 13
21,8,1222,162,Zone 10
21,9,816,105,Zone 4
21,10,485,171,Zone 7
21,11,195,41,Zone 1
21,12,742,80,Zone 3
21,13,620,82,Zone 3
21,14,918,530,Zone 19
21,15,577,80,Zone 3
21,16,544,82,Zone 3
21,17,1094,50,Zone 5
21,19,399,248,Zone 7
21,20,635,184,Zone 8
21,21,75,122,Zone 1
21,22,1137,57,Zone 5
21,23,793,115,Zone 4
21,24,271,35,Zone 2
21,27,83,605,Zone 21
21,28,676,133,Zone 3
21,29,1073,48,Zone 5
21,30,879,32,Zone 4
21,36,937,59,Zone 4
21,38,244,373,Zone 11
21,32,1241,461,Zone 20
21,34,400,186,Zone 7
21,40,1159,174,Zone 10
21,33,1178,104,Zone 5
21,4,181,392,Zone 11
22,1,1024,419,Zone 14
22,2,1012,314,Zone 14
22,3,472,421,Zone 12
22,5,772,604,Zone 24
22,7,522,301,Zone 13
22,8,1222,162,Zone 10
22,9,815,104,Zone 4
22,10,485,167,Zone 7
22,11,198,41,Zone 1
22,12,742,80,Zone 3
22,13,621,78,Zone 3
22,14,913,530,Zone 19
22,15,577,79,Zone 3
22,16,543,81,Zone 3
22,17,1094,50,Zone 5
22,19,400,249,Zone 7
22,20,636,183,Zone 8
22,21,75,121,Zone 1
22,22,1137,58,Zone 5
22,23,792,112,Zone 4
22,24,272,34,Zone 2
22,27,84,605,Zone 21
22,28,676,135,Zone 3
22,29,1073,48,Zone 5
22,30,878,32,Zone 4
22,36,936,59,Zone 4
22,38,243,373,Zone 11
22,32,1236,458,Zone 20
22,40,1160,173,Zone 10
22,4,180,396,Zone 11
22,37,1270,108,Zone 5
22,26,1165,143,Zone 5
23,1,1025,421,Zone 15
23,2,1013,316,Zone 14
23,3,471,420,Zone 12
23,5,772,600,Zone 24
23,7,522,300,Zone 13
23,8,1223,162,Zone 10
23,9,814,103,Zone 4
23,10,485,166,Zone 7
23,11,199,40,Zone 1
23,12,742,80,Zone 3
23,13,621,76,Zone 3
23,14,911,530,Zone 19
23,15,577,79,Zone 3
23,16,543,81,Zone 3
23,17,1094,50,Zone 5
23,19,400,249,Zone 7
23,20,636,183,Zone 8
23,21,75,121,Zone 1
23,22,1137,58,Zone 5
23,23,791,111,Zone 4
23,24,273,33,Zone 2
23,27,84,605,Zone 21
23,28,676,135,Zone 3
23,29,1073,48,Zone 5
23,30,878,32,Zone 4
23,36,936,59,Zone 4
23,38,243,373,Zone 11
23,32,1234,457,Zone 20
23,40,1160,173,Zone 10
23,4,180,397,Zone 11
23,37,1270,108,Zone 5
23,26,1165,143,Zone 5
24,1,1026,425,Zone 15
24,2,1015,318,Zone 14
24,3,472,418,Zone 12
24,5,770,598,Zone 24
24,7,522,300,Zone 13
24,8,1224,163,Zone 10
24,9,814,102,Zone 4
24,10,486,163,Zone 7
24,11,200,38,Zone 1
24,12,742,82,Zone 3
24,13,622,73,Zone 3
24,14,909,530,Zone 19
24,15,577,78,Zone 3
24,16,543,80,Zone 3
24,17,1094,51,Zone 5
24,19,400,253,Zone 7
24,20,636,184,Zone 8
24,21,75,121,Zone 1
24,22,1137,61,Zone 5
24,23,791,109,Zone 4
24,24,273,32,Zone 2
24,27,85,606,Zone 21
24,28,677,136,Zone 3
24,29,1073,49,Zone 5
24,30,877,33,Zone 4
24,36,935,59,Zone 4
24,38,241,371,Zone 11
24,32,1229,455,Zone 20
24,40,1162,174,Zone 10
24,4,179,402,Zone 11
24,37,1269,110,Zone 5
24,26,1169,146,Zone 10
25,1,1026,429,Zone 15
25,2,1016,319,Zone 14
25,3,472,416,Zone 12
25,5,769,595,Zone 24
25,7,522,298,Zone 13
25,8,1225,163,Zone 10
25,9,813,101,Zone 4
25,10,485,161,Zone 7
25,11,200,38,Zone 1
25,12,742,83,Zone 3
25,13,623,71,Zone 3
25,14,908,530,Zone 19
25,15,577,78,Zone 3
25,16,543,79,Zone 3
25,17,1095,51,Zone 5
25,19,401,255,Zone 7
25,20,636,185,Zone 8
25,21,75,121,Zone 1
25,22,1137,63,Zone 5
25,23,790,107,Zone 4
25,24,273,31,Zone 2
25,27,86,607,Zone 21
25,28,677,136,Zone 3
25,29,1073,49,Zone 5
25,30,877,33,Zone 4
25,36,935,59,Zone 4
25,38,241,371,Zone 11
25,32,1225,454,Zone 20
25,40,1165,167,Zone 10
25,4,178,405,Zone 11
25,37,1269,112,Zone 5
25,26,1170,146,Zone 10
26,1,1027,432,Zone 15
26,2,1017,321,Zone 14
26,3,472,413,Zone 12
26,5,768,594,Zone 23
26,6,785,332,Zone 14
26,7,523,297,Zone 13
26,8,1225,165,Zone 10
26,9,813,99,Zone 4
26,10,485,159,Zone 7
26,11,201,37,Zone 1
26,12,743,84,Zone 3
26,13,623,70,Zone 3
26,14,906,529,Zone 19
26,15,577,79,Zone 3
26,16,543,79,Zone 3
26,17,1095,52,Zone 5
26,19,402,257,Zone 7
26,20,636,187,Zone 8
26,21,75,121,Zone 1
26,22,1137,64,Zone 5
26,23,790,106,Zone 4
26,24,273,30,Zone 2
26,27,87,608,Zone 21
26,28,677,136,Zone 3
26,29,1074,49,Zone 5
26,30,877,33,Zone 4
26,36,935,59,Zone 4
26,38,242,371,Zone 11
26,32,1222,453,Zone 20
26,40,1165,163,Zone 10
26,4,177,407,Zone 11
26,37,1269,113,Zone 5
26,26,1170,148,Zone 10
27,1,1029,434,Zone 20
27,2,1019,322,Zone 14
27,3,473,405,Zone 12
27,5,767,592,Zone 23
27,6,784,329,Zone 14
27,7,523,292,Zone 13
27,8,1225,168,Zone 10
27,9,813,96,Zone 4
27,10,485,157,Zone 7
27,11,202,36,Zone 1
27,12,743,86,Zone 3
27,13,624,68,Zone 3
27,14,902,528,Zone 19
27,15,577,78,Zone 3
27,16,543,78,Zone 3
27,17,1096,51,Zone 5
27,19,403,259,Zone 7
27,20,636,190,Zone 8
27,21,75,121,Zone 1
27,22,1138,66,Zone 5
27,23,790,106,Zone 4
27,24,275,29,Zone 2
27,27,88,609,Zone 21
27,28,677,137,Zone 3
27,29,1074,50,Zone 5
27,30,877,33,Zone 4
27,36,934,59,Zone 4
27,38,241,371,Zone 11
27,32,1219,451,Zone 20
27,40,1164,169,Zone 10
27,4,176,409,Zone 11
27,37,1269,115,Zone 5
27,26,1168,150,Zone 10
28,1,1030,436,Zone 20
28,2,1021,324,Zone 14
28,3,474,400,Zone 12
28,5,766,591,Zone 23
28,7,523,288,Zone 8
28,8,1225,171,Zone 10
28,9,813,94,Zone 4
28,10,485,156,Zone 7
28,11,202,35,Zone 1
28,12,744,86,Zone 3
28,13,625,67,Zone 3
28,14,899,527,Zone 19
28,15,577,78,Zone 3
28,16,543,78,Zone 3
28,17,1097,52,Zone 5
28,19,404,261,Zone 7
28,20,636,191,Zone 8
28,21,75,121,Zone 1
28,22,1138,67,Zone 5
28,23,790,106,Zone 4
28,24,277,28,Zone 2
28,27,89,610,Zone 21
28,28,677,137,Zone 3
28,29,1075,50,Zone 5
28,30,877,33,Zone 4
28,36,934,59,Zone 4
28,38,241,370,Zone 11
28,32,1217,449,Zone 20
28,4,176,410,Zone 11
28,37,1269,116,Zone 5
28,26,1168,152,Zone 10
28,34,399,192,Zone 7
29,1,1031,436,Zone 20
29,2,1021,327,Zone 14
29,3,474,396,Zone 12
29,5,766,590,Zone 23
29,7,524,286,Zone 8
29,8,1226,173,Zone 10
29,9,812,92,Zone 4
29,10,485,155,Zone 7
29,11,202,34,Zone 1
29,12,744,87,Zone 3
